gameId,date,season,teamId,team,isHome,opponentId,opponent,team_points,opp_points,team_fieldGoalsMade,team_fieldGoalsAttempted,team_freeThrowsMade,team_freeThrowsAttempted,team_threePointsMade,team_threePointsAttempted,team_offensiveRebounds,team_totalRebounds,team_assists,team_turnovers,team_personalFouls,team_steals,team_blockedShots,team_fieldGoalPercentage,team_threePointPercentage,team_freeThrowPercentage,opp_fieldGoalsMade,opp_fieldGoalsAttempted,opp_freeThrowsMade,opp_freeThrowsAttempted,opp_threePointsMade,opp_threePointsAttempted,opp_offensiveRebounds,opp_totalRebounds,opp_assists,opp_turnovers,opp_personalFouls,opp_steals,opp_blockedShots,opp_fieldGoalPercentage,opp_threePointPercentage,opp_freeThrowPercentage
6517599,2026-01-01,2026,1370,Washington,True,2512,Michigan,64,52,22,47,15,21,5,14,9,43,18,23,15,8,5,46.8%,35.7%,71.4%,20,60,9,17,3,14,11,27,3,13,21,11,0,33.3%,21.4%,52.9%
6517599,2026-01-01,2026,2512,Michigan,False,1370,Washington,52,64,20,60,9,17,3,14,11,27,3,13,21,11,0,33.3%,21.4%,52.9%,22,47,15,21,5,14,9,43,18,23,15,8,5,46.8%,35.7%,71.4%
6517658,2026-01-01,2026,1543,UAlbany,True,2681,Vermont,56,72,22,47,8,10,4,12,6,24,12,15,14,5,0,46.8%,33.3%,80.0%,27,54,5,7,13,25,8,26,13,11,13,2,1,50.0%,52.0%,71.4%
6517658,2026-01-01,2026,2681,Vermont,False,1543,UAlbany,72,56,27,54,5,7,13,25,8,26,13,11,13,2,1,50.0%,52.0%,71.4%,22,47,8,10,4,12,6,24,12,15,14,5,0,46.8%,33.3%,80.0%
6517769,2026-01-01,2026,614,Southeast Mo. St.,True,732,Eastern Ill.,70,68,26,60,14,15,4,15,8,31,12,15,9,7,3,43.3%,26.7%,93.3%,24,57,7,7,13,28,7,29,15,21,14,8,6,42.1%,46.4%,100.0%
6517769,2026-01-01,2026,732,Eastern Ill.,False,614,Southeast Mo. St.,68,70,24,57,7,7,13,28,7,29,15,21,14,8,6,42.1%,46.4%,100.0%,26,60,14,15,4,15,8,31,12,15,9,7,3,43.3%,26.7%,93.3%
6517799,2026-01-01,2026,788,UMass Lowell,True,1146,Maine,65,73,30,56,2,3,3,13,10,29,10,20,13,5,0,53.6%,23.1%,66.7%,28,53,13,17,4,16,8,23,11,11,9,8,4,52.8%,25.0%,76.5%
6517799,2026-01-01,2026,1146,Maine,False,788,UMass Lowell,73,65,28,53,13,17,4,16,8,23,11,11,9,8,4,52.8%,25.0%,76.5%,30,56,2,3,3,13,10,29,10,20,13,5,0,53.6%,23.1%,66.7%
6517817,2026-01-01,2026,2313,Rutgers,True,1200,Wisconsin,63,70,23,59,7,8,10,24,14,37,16,14,15,6,4,39.0%,41.7%,87.5%,24,53,10,12,12,25,7,29,16,12,15,6,4,45.3%,48.0%,83.3%
6517817,2026-01-01,2026,1200,Wisconsin,False,2313,Rutgers,70,63,24,53,10,12,12,25,7,29,16,12,15,6,4,45.3%,48.0%,83.3%,23,59,7,8,10,24,14,37,16,14,15,6,4,39.0%,41.7%,87.5%
6517867,2026-01-01,2026,77,Kansas,True,304,West Virginia,72,79,25,49,15,18,7,14,9,27,15,22,16,8,1,51.0%,50.0%,83.3%,27,54,12,15,13,27,9,26,16,17,18,13,7,50.0%,48.1%,80.0%
6517867,2026-01-01,2026,304,West Virginia,False,77,Kansas,79,72,27,54,12,15,13,27,9,26,16,17,18,13,7,50.0%,48.1%,80.0%,25,49,15,18,7,14,9,27,15,22,16,8,1,51.0%,50.0%,83.3%
6517927,2026-01-01,2026,1702,Tennessee,True,2138,Florida,76,65,26,66,19,24,5,25,20,49,12,17,17,10,2,39.4%,20.0%,79.2%,26,60,7,10,6,23,5,26,10,16,16,11,6,43.3%,26.1%,70.0%
6517927,2026-01-01,2026,2138,Florida,False,1702,Tennessee,65,76,26,60,7,10,6,23,5,26,10,16,16,11,6,43.3%,26.1%,70.0%,26,66,19,24,5,25,20,49,12,17,17,10,2,39.4%,20.0%,79.2%
